config_id,initial_temp,final_temp,alpha,max_iter,time,final_fitness,validity
cfg_001,100000.0,1.0,0.95,10000,0.38,17.333333333333332,True
cfg_002,100000.0,1.0,0.95,50000,0.36,17.333333333333332,True
cfg_003,100000.0,1.0,0.95,100000,0.37,17.333333333333332,True
cfg_004,100000.0,1.0,0.97,10000,0.59,17.333333333333332,True
cfg_005,100000.0,1.0,0.97,50000,0.65,17.333333333333332,True
cfg_006,100000.0,1.0,0.97,100000,0.68,17.333333333333332,True
cfg_007,100000.0,1.0,0.98,10000,0.94,17.333333333333332,True
cfg_008,100000.0,1.0,0.98,50000,0.99,17.333333333333332,True
cfg_009,100000.0,1.0,0.98,100000,0.99,17.333333333333332,True
cfg_010,100000.0,1.0,0.99,10000,2.07,17.333333333333332,True
cfg_011,100000.0,1.0,0.99,50000,1.92,17.333333333333332,True
cfg_012,100000.0,1.0,0.99,100000,2.03,17.333333333333332,True
cfg_013,100000.0,10.0,0.95,10000,0.37,17.333333333333332,True
cfg_014,100000.0,10.0,0.95,50000,0.35,17.333333333333332,True
cfg_015,100000.0,10.0,0.95,100000,0.32,17.333333333333332,True
cfg_016,100000.0,10.0,0.97,10000,0.54,17.333333333333332,True
cfg_017,100000.0,10.0,0.97,50000,0.52,17.333333333333332,True
cfg_018,100000.0,10.0,0.97,100000,0.54,17.333333333333332,True
cfg_019,100000.0,10.0,0.98,10000,0.79,17.333333333333332,True
cfg_020,100000.0,10.0,0.98,50000,1.1,17.333333333333332,True
cfg_021,100000.0,10.0,0.98,100000,0.85,17.333333333333332,True
cfg_022,100000.0,10.0,0.99,10000,1.61,17.333333333333332,True
cfg_023,100000.0,10.0,0.99,50000,1.8,17.333333333333332,True
cfg_024,100000.0,10.0,0.99,100000,2.05,17.333333333333332,True
cfg_025,100000.0,50.0,0.95,10000,0.26,17.333333333333332,True
cfg_026,100000.0,50.0,0.95,50000,0.26,17.333333333333332,True
cfg_027,100000.0,50.0,0.95,100000,0.26,17.333333333333332,True
cfg_028,100000.0,50.0,0.97,10000,0.43,17.333333333333332,True
cfg_029,100000.0,50.0,0.97,50000,0.48,17.333333333333332,True
cfg_030,100000.0,50.0,0.97,100000,0.45,17.333333333333332,True
cfg_031,100000.0,50.0,0.98,10000,0.67,17.333333333333332,True
cfg_032,100000.0,50.0,0.98,50000,0.66,17.333333333333332,True
cfg_033,100000.0,50.0,0.98,100000,0.69,17.333333333333332,True
cfg_034,100000.0,50.0,0.99,10000,1.36,17.333333333333332,True
cfg_035,100000.0,50.0,0.99,50000,1.29,17.333333333333332,True
cfg_036,100000.0,50.0,0.99,100000,1.32,17.333333333333332,True
cfg_037,500000.0,1.0,0.95,10000,0.41,17.333333333333332,True
cfg_038,500000.0,1.0,0.95,50000,0.41,17.333333333333332,True
cfg_039,500000.0,1.0,0.95,100000,0.42,17.333333333333332,True
cfg_040,500000.0,1.0,0.97,10000,0.79,17.333333333333332,True
cfg_041,500000.0,1.0,0.97,50000,0.68,17.333333333333332,True
cfg_042,500000.0,1.0,0.97,100000,0.72,17.333333333333332,True
cfg_043,500000.0,1.0,0.98,10000,1.11,17.333333333333332,True
cfg_044,500000.0,1.0,0.98,50000,1.11,17.333333333333332,True
cfg_045,500000.0,1.0,0.98,100000,1.15,17.333333333333332,True
cfg_046,500000.0,1.0,0.99,10000,2.28,17.333333333333332,True
cfg_047,500000.0,1.0,0.99,50000,2.23,17.333333333333332,True
cfg_048,500000.0,1.0,0.99,100000,2.27,17.333333333333332,True
cfg_049,500000.0,10.0,0.95,10000,0.34,17.333333333333332,True
cfg_050,500000.0,10.0,0.95,50000,0.36,17.333333333333332,True
cfg_051,500000.0,10.0,0.95,100000,0.39,17.333333333333332,True
cfg_052,500000.0,10.0,0.97,10000,0.64,17.333333333333332,True
cfg_053,500000.0,10.0,0.97,50000,0.65,17.333333333333332,True
cfg_054,500000.0,10.0,0.97,100000,0.62,17.333333333333332,True
cfg_055,500000.0,10.0,0.98,10000,0.99,17.333333333333332,True
cfg_056,500000.0,10.0,0.98,50000,0.92,17.333333333333332,True
cfg_057,500000.0,10.0,0.98,100000,0.93,17.333333333333332,True
cfg_058,500000.0,10.0,0.99,10000,1.87,17.333333333333332,True
cfg_059,500000.0,10.0,0.99,50000,1.92,17.333333333333332,True
cfg_060,500000.0,10.0,0.99,100000,1.87,17.333333333333332,True
cfg_061,500000.0,50.0,0.95,10000,0.28,17.333333333333332,True
cfg_062,500000.0,50.0,0.95,50000,0.3,17.333333333333332,True
cfg_063,500000.0,50.0,0.95,100000,0.34,17.333333333333332,True
cfg_064,500000.0,50.0,0.97,10000,0.55,17.333333333333332,True
cfg_065,500000.0,50.0,0.97,50000,0.55,15.833333333333334,True
cfg_066,500000.0,50.0,0.97,100000,0.53,17.333333333333332,True
cfg_067,500000.0,50.0,0.98,10000,1.27,17.333333333333332,True
cfg_068,500000.0,50.0,0.98,50000,0.85,17.333333333333332,True
cfg_069,500000.0,50.0,0.98,100000,0.82,17.333333333333332,True
cfg_070,500000.0,50.0,0.99,10000,1.98,17.333333333333332,True
cfg_071,500000.0,50.0,0.99,50000,2.06,17.333333333333332,True
cfg_072,500000.0,50.0,0.99,100000,1.74,17.333333333333332,True
cfg_073,1000000.0,1.0,0.95,10000,0.43,17.333333333333332,True
cfg_074,1000000.0,1.0,0.95,50000,0.49,17.333333333333332,True
cfg_075,1000000.0,1.0,0.95,100000,0.5,17.333333333333332,True
cfg_076,1000000.0,1.0,0.97,10000,0.79,17.333333333333332,True
cfg_077,1000000.0,1.0,0.97,50000,0.77,17.333333333333332,True
cfg_078,1000000.0,1.0,0.97,100000,0.83,17.333333333333332,True
cfg_079,1000000.0,1.0,0.98,10000,1.13,17.333333333333332,True
cfg_080,1000000.0,1.0,0.98,50000,1.21,17.333333333333332,True
cfg_081,1000000.0,1.0,0.98,100000,1.22,17.333333333333332,True
cfg_082,1000000.0,1.0,0.99,10000,2.57,17.333333333333332,True
cfg_083,1000000.0,1.0,0.99,50000,2.52,17.333333333333332,True
cfg_084,1000000.0,1.0,0.99,100000,2.33,17.333333333333332,True
cfg_085,1000000.0,10.0,0.95,10000,0.43,17.333333333333332,True
cfg_086,1000000.0,10.0,0.95,50000,0.42,17.333333333333332,True
cfg_087,1000000.0,10.0,0.95,100000,0.39,17.333333333333332,True
cfg_088,1000000.0,10.0,0.97,10000,0.7,17.333333333333332,True
cfg_089,1000000.0,10.0,0.97,50000,0.66,17.333333333333332,True
cfg_090,1000000.0,10.0,0.97,100000,0.89,17.333333333333332,True
cfg_091,1000000.0,10.0,0.98,10000,0.97,17.333333333333332,True
cfg_092,1000000.0,10.0,0.98,50000,0.99,17.333333333333332,True
cfg_093,1000000.0,10.0,0.98,100000,1.01,17.333333333333332,True
cfg_094,1000000.0,10.0,0.99,10000,2.09,17.333333333333332,True
cfg_095,1000000.0,10.0,0.99,50000,2.01,17.333333333333332,True
cfg_096,1000000.0,10.0,0.99,100000,2.12,17.333333333333332,True
cfg_097,1000000.0,50.0,0.95,10000,0.35,17.333333333333332,True
cfg_098,1000000.0,50.0,0.95,50000,0.36,17.333333333333332,True
cfg_099,1000000.0,50.0,0.95,100000,0.36,17.333333333333332,True
cfg_100,1000000.0,50.0,0.97,10000,0.55,17.333333333333332,True
cfg_101,1000000.0,50.0,0.97,50000,0.61,17.333333333333332,True
cfg_102,1000000.0,50.0,0.97,100000,0.55,17.333333333333332,True
cfg_103,1000000.0,50.0,0.98,10000,0.87,17.333333333333332,True
cfg_104,1000000.0,50.0,0.98,50000,0.85,17.333333333333332,True
cfg_105,1000000.0,50.0,0.98,100000,0.87,17.333333333333332,True
cfg_106,1000000.0,50.0,0.99,10000,1.75,17.333333333333332,True
